event_date,device_category,operating_system,event_name,page_location,page_referrer,firebase_screen,firebase_previous_screen,sn,sr,app_version,event_count,user_pseudo_id_count
2026-09-13,mobile,iOS,user_bookmark_poi,,,HK.SR2.Overview.1025202,,,sr2,7.3.2,1,1
2026-09-13,mobile,iOS,or_sponsor_get_poi,,,HK.AdvSearch.SR1.1,,,sr1,7.6.6,1,1
2026-09-13,mobile,iOS,or_search_nearby,,,HK.Search.SR1.7,,HK.Search.SR1.7,search_button,7.12.0,1,1
2026-09-13,mobile,Android,impression_jobs_poiSr2Hiring,,,HK.SR2.overview.701116,,,,7.17.1,1,1
2026-09-13,mobile,iOS,or_search_adv,,,HK.AdvSearch.sr1.1,,HK.AdvSearch.sr1.1,Advance,7.9.0,6,4
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.690612,,HK.SR2.Overview.690612,,7.12.3,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.decor.1147293,,HK.SR2.photo.decor.1147293,sr2PhotoTab,7.9.5,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.menu.513686,,HK.SR2.photo.menu.513686,,7.10.1,1,1
2026-09-13,mobile,iOS,or_poi_doorPhoto,,,HK.SR2.Overview.599321,,HK.SR2.Overview.599321,Others,7.17.2,1,1
2026-09-13,mobile,iOS,or_search_quick,,,HK.LMS2Lite.15.tab.-990.2,,HK.LMS2Lite.15.tab.-990.2,,7.17.2,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.892654,,HK.SR2.Overview.892654,sr2MoreInfo,7.12.3,1,1
2026-09-13,mobile,iOS,or_search_nearby,,,HK.Search.SR1.8,,HK.Search.SR1.8,qcksearch,7.13.3,1,1
2026-09-13,mobile,iOS,or_search_quick,,,HK.QckSearch.SR1.32,,HK.QckSearch.SR1.32,search_key_in,7.9.0,1,1
2026-09-13,mobile,iOS,or_tm_book,,,HK.SR2.Overview.1136299,,HK.SR2.Overview.1136299,sr2BookingWidget,7.14.4,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.706058,,HK.SR2.Overview.706058,sr2opening,7.14.2,1,1
2026-09-13,mobile,Android,or_search_get_poi,,,HK.Search.SR1.2,,hk.Search.SR1.2,sr1,7.16.0,3,1
2026-09-13,mobile,Android,user_media_fullscreen,,,HK.SR1.Reel.photo.29501270,,HK.SR1.Reel.photo.29501270,,7.18.1,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.538956,,HK.SR2.Overview.538956,,7.15.0,1,1
2026-09-13,mobile,Android,or_search_quick,,,HK.Search.SR1.4,,hk.QckSearch,,7.14.2,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.851449,,HK.Takeaway.order.851449,sr1,7.16.1,1,1
2026-09-13,mobile,iOS,or_selforder_order,,,HK.SR2.Overview.32066,,HK.SR2.Overview.32066,sr2Tab,7.7.1,1,1
2026-09-13,mobile,Android,or_myor_bkmPOI,,,HK.MyBookmarkCat.1,,,Others,7.17.0,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.4042,,HK.SR2.photo.4042,sr2PhotoTab,7.9.6,2,1
