,RestaurantID,RestaurantName,BookingRefId,mars_userid,SubmitTime,BookingDate,BookingTime,hv_noshow,AmendedSeat,bookmenu_spending,BookingDateTime,Rank,UniquePOICount,Rank2,Target_Time
1,188593,Goobne Chicken,20260822805560,561943,2026-08-22 19:13:33.273000,2026-08-22,20:00:00,N,2,,2026-08-22 20:00:00,1,2,1,
2,898977,佬麻雀 · 鮮湘菜,20260827911780,561943,2026-08-27 21:27:50.810000,2026-08-28,13:00:00,N,2,,2026-08-28 13:00:00,1,2,2,2026-08-28 13:00:00
3,888959,GoNuts,20260825852864,1149565,2026-08-25 10:04:10.603000,2026-08-25,13:30:00,N,2,,2026-08-25 13:30:00,1,2,1,
4,885807,Nisugu,20260826888812,1149565,2026-08-26 19:59:58.167000,2026-08-31,13:00:00,N,2,,2026-08-31 13:00:00,1,2,2,2026-08-31 13:00:00
5,478199,品越越式料理,20260827914531,4007358,2026-08-27 23:51:50.023000,2026-08-28,19:15:00,N,1,,2026-08-28 19:15:00,1,2,1,
6,604066,Marco's Oyster Bar & Grill,20260827914423-2,4007358,2026-08-28 20:06:40.280000,2026-08-30,18:00:00,N,2,,2026-08-30 18:00:00,1,2,2,2026-08-30 18:00:00
